StudentID,FirstName,LastName,Class,Section,Age,Marks,City,Email,Phone
101,Ravi,Sharma,10,A,15,89,Delhi,ravi.sharma@example.com,9876543210
102,Pooja,Mehta,10,B,16,92,Mumbai,pooja.mehta@example.com,9988776655
103,Amit,Kumar,9,A,14,76,Kolkata,amit.kumar@example.com,9123456780
104,Neha,Verma,11,C,17,85,Bengaluru,neha.verma@example.com,9812345678
105,Arjun,Gupta,12,A,18,94,Hyderabad,arjun.gupta@example.com,9090909090
106,Sneha,Rao,9,B,14,81,Chennai,sneha.rao@example.com,9823456781
107,Karan,Patel,11,A,16,88,Pune,karan.patel@example.com,9898989898
108,Muskan,Singh,10,C,15,73,Jaipur,muskan.singh@example.com,9012345678
109,Vikas,Jain,12,B,17,91,Surat,vikas.jain@example.com,9321654789
110,Anjali,Das,9,C,14,84,Bhubaneswar,anjali.das@example.com,9001234567
